"method","n_features","threshold","typeI_H0_ng","nuisance_H1_gauss","power_H1_ng","accuracy","balanced_accuracy","alpha","patp_basis","cond_h0","cond_h1","cond_max"
"hybrid",14,0.642168954975237,0.0133333333333333,0.0766666666666667,0.738333333333333,0.882777777777778,0.846666666666667,0.3,"patp_n3_a0.30",39082.7262510066,39159.9936486415,39159.9936486415
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.35,"patp_n3_a0.35",39585.5975201106,39619.3910692296,39619.3910692296
"dsge",3,0.638275606443548,0,0.106666666666667,0.133333333333333,0.675555555555556,0.54,0.35,"patp_n3_a0.35",39585.5975201106,39619.3910692296,39619.3910692296
"hybrid",14,0.618028832171724,0.0133333333333333,0.08,0.768333333333333,0.891666666666667,0.860833333333333,0.35,"patp_n3_a0.35",39585.5975201106,39619.3910692296,39619.3910692296
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.4,"patp_n3_a0.40",39835.898352819,39848.7637698377,39848.7637698377
"dsge",3,0.631239165588092,0,0.0966666666666667,0.126666666666667,0.676666666666667,0.539166666666667,0.4,"patp_n3_a0.40",39835.898352819,39848.7637698377,39848.7637698377
"hybrid",14,0.547933389087978,0.0216666666666667,0.0883333333333333,0.823333333333333,0.904444444444444,0.884166666666667,0.4,"patp_n3_a0.40",39835.898352819,39848.7637698377,39848.7637698377
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.45,"patp_n3_a0.45",39959.6538217623,39962.8981849299,39962.8981849299
"dsge",3,0.625218640256728,0,0.105,0.138333333333333,0.677777777777778,0.542916666666667,0.45,"patp_n3_a0.45",39959.6538217623,39962.8981849299,39962.8981849299
"hybrid",14,0.554070394972143,0.0233333333333333,0.0866666666666667,0.816666666666667,0.902222222222222,0.880833333333333,0.45,"patp_n3_a0.45",39959.6538217623,39962.8981849299,39962.8981849299
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.5,"patp_n3_a0.50",1,1,1
"dsge",3,0.547367941811014,0,0.101666666666667,0.113333333333333,0.670555555555556,0.53125,0.5,"patp_n3_a0.50",1,1,1
"hybrid",14,0.757809496777333,0.00666666666666667,0.085,0.628333333333333,0.845555555555556,0.79125,0.5,"patp_n3_a0.50",1,1,1
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.55,"patp_n3_a0.55",39956.4924349716,39960.1137633385,39960.1137633385
"dsge",3,0.644245551751413,0,0.101666666666667,0.118333333333333,0.672222222222222,0.53375,0.55,"patp_n3_a0.55",39956.4924349716,39960.1137633385,39960.1137633385
"hybrid",14,0.541594730040517,0.025,0.085,0.84,0.91,0.8925,0.55,"patp_n3_a0.55",39956.4924349716,39960.1137633385,39960.1137633385
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.6,"patp_n3_a0.60",39807.7358052826,39823.829048696,39823.829048696
"dsge",3,0.644938918147877,0,0.111666666666667,0.136666666666667,0.675,0.540416666666667,0.6,"patp_n3_a0.60",39807.7358052826,39823.829048696,39823.829048696
"hybrid",14,0.482178341238031,0.0266666666666667,0.0733333333333333,0.881666666666667,0.927222222222222,0.915833333333333,0.6,"patp_n3_a0.60",39807.7358052826,39823.829048696,39823.829048696
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.65,"patp_n3_a0.65",39449.6453558796,39498.1627545142,39498.1627545142
