"cond_idx","N","gamma_U","gamma_T","R","cor_E1E2","H0","estimand","estimator","rate","ci_lo","ci_hi","n_reps"
23,2000,2.25,2.25,1.25,0.19,FALSE,"power","naive_delta_c3",0.155,0.111396369276893,0.211606905923421,200
23,2000,2.25,2.25,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.055,0.0309853417034588,0.0957869987723084,200
24,2000,2.25,2.25,2,0.38,FALSE,"power","naive_delta_c3",1,0.981154673622733,1,200
24,2000,2.25,2.25,2,0.38,FALSE,"power","pmm2_delta_c3",0.655,0.586755892590537,0.717402056232511,200
25,5000,0.75,0,1,0,TRUE,"typeI","naive_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
25,5000,0.75,0,1,0,TRUE,"typeI","pmm2_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
26,5000,0.75,0,1.25,0.19,FALSE,"power","naive_delta_c3",0.1,0.0656704486690959,0.149405812432717,200
26,5000,0.75,0,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.08,0.04984058588976,0.125989488267144,200
27,5000,0.75,0,2,0.38,FALSE,"power","naive_delta_c3",1,0.981154673622733,1,200
27,5000,0.75,0,2,0.38,FALSE,"power","pmm2_delta_c3",0.155,0.111396369276893,0.211606905923421,200
28,5000,0.75,2.25,1,0,TRUE,"typeI","naive_delta_c3",0.055,0.0309853417034588,0.0957869987723084,200
28,5000,0.75,2.25,1,0,TRUE,"typeI","pmm2_delta_c3",0.06,0.0346521942543319,0.101931692957663,200
29,5000,0.75,2.25,1.25,0.19,FALSE,"power","naive_delta_c3",0.085,0.0537457501774756,0.131895870715656,200
29,5000,0.75,2.25,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.05,0.0273826456007639,0.089578148138776,200
30,5000,0.75,2.25,2,0.38,FALSE,"power","naive_delta_c3",0.995,0.972226295602107,0.999116831284399,200
30,5000,0.75,2.25,2,0.38,FALSE,"power","pmm2_delta_c3",0.085,0.0537457501774756,0.131895870715656,200
31,5000,2.25,0,1,0,TRUE,"typeI","naive_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
31,5000,2.25,0,1,0,TRUE,"typeI","pmm2_delta_c3",0.09,0.0576874488621932,0.137765718767165,200
32,5000,2.25,0,1.25,0.19,FALSE,"power","naive_delta_c3",0.385,0.320333097269232,0.454001327797539,200
32,5000,2.25,0,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.15,0.10713593562242,0.206055792841667,200
33,5000,2.25,0,2,0.38,FALSE,"power","naive_delta_c3",1,0.981154673622733,1,200
33,5000,2.25,0,2,0.38,FALSE,"power","pmm2_delta_c3",0.975,0.942821659593358,0.989275280348239,200
34,5000,2.25,2.25,1,0,TRUE,"typeI","naive_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
34,5000,2.25,2.25,1,0,TRUE,"typeI","pmm2_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
35,5000,2.25,2.25,1.25,0.19,FALSE,"power","naive_delta_c3",0.365,0.301405264649268,0.433682973472594,200
35,5000,2.25,2.25,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.06,0.0346521942543319,0.101931692957663,200
36,5000,2.25,2.25,2,0.38,FALSE,"power","naive_delta_c3",1,0.981154673622733,1,200
36,5000,2.25,2.25,2,0.38,FALSE,"power","pmm2_delta_c3",0.95,0.910421851861224,0.972617354399236,200
